module_id,module_name_cn,module_name_en,issue_count,total_deduction,s_count,m_count,g_count,l_count,affected_store_count,affected_store_pct,is_systemic,has_critical,top_labels
5,清洁卫生,Sanitation and Hygiene,18,-45.0,1,4,7,6,9,100.0,True,True,"Procedures for Cleaning and Disinfection, Trash Cans, Food Processing Area"
1,证照文件记录,Document Record,11,-19.0,0,1,4,6,7,77.8,True,False,"License Documents, Government inspection, Licenses and certificates"
10,饮用水与管道系统,"Potable Water, Pipes & Water Systems",9,-16.0,0,1,3,5,5,55.6,True,False,"Potable Water Supply is Adequate, Water Filtration Device, Grease traps&Residue traps&Sewer lines"
2,员工健康与个人卫生,Employees' Health & Personal Hygiene,10,-13.0,0,0,3,7,5,55.6,True,False,"Handwashing Standards, Personal certificate, Disposable Gloves and Blue Bandages"
6,产品与有效期管理,Product Procedures & Expiry Date Management,9,-10.0,0,0,1,8,7,77.8,True,False,"Operating Specifications, Food, Product Storage Conditions"
12,门店稽核管理,Store Audit Management Procedures,5,-5.0,0,0,0,5,4,44.4,False,False,Requirements
8,化学品管理,Chemicals,4,-5.0,0,0,1,3,4,44.4,False,False,Chemical Mark/Storage
4,交叉污染防控,Prevention of Cross-contamination,3,-4.0,0,0,1,2,3,33.3,False,False,"Avoidance of Falling Foreign Objects, Storage/Maintenance of Utensils"
7,设备设施维护,Maintenance of Equipment and Facilities,2,-4.0,0,0,2,0,2,22.2,False,False,"Facility Inspection and Maintenance, Lights"
3,供应商管理,Approved Supplier,2,-3.0,0,0,1,1,2,22.2,False,False,Approved Goods
9,虫害防控,Pests Control,1,-2.0,0,0,1,0,1,11.1,False,False,No pests enter
11,工作场所安全,Workplace Safety,1,-1.0,0,0,0,1,1,11.1,False,False,Workplace Safety
