check_items_full,empapp_label,count,module_id,module_cn,module_en,matched_clause,match_score,match_method,match_confidence,text_severity,severity,severity_mismatch,check_items_preview
(G) All required government permits are posted in customer-visible area,Government inspection,1,1,证照文件记录,Document Record,1.2.1,0.9,text_match,high,,G,False,(G) All required government permits are posted in customer-visible area
(G) Government inspection records are maintained on file,Licenses and certificates,1,1,证照文件记录,Document Record,1.3.1,0.9,text_match,high,,G,False,(G) Government inspection records are maintained on file
(G) Store has valid food service license prominently displayed,Government inspection,1,1,证照文件记录,Document Record,1.1.1,0.9,text_match,high,,L,False,(G) Store has valid food service license prominently displayed
(L) (G) Government inspection records are maintained on file,Licenses and certificates,1,1,证照文件记录,Document Record,1.3.1,0.9,text_match,high,L,L,False,(L) (G) Government inspection records are maintained on file
(L) (G) Store has valid food service license prominently displayed,License Documents,1,1,证照文件记录,Document Record,1.1.1,0.9,text_match,high,L,L,False,(L) (G) Store has valid food service license prominently displayed
(L) Business registration certificate is current and accessible,Licenses and certificates,1,1,证照文件记录,Document Record,1.1.2,1.0,text_match,high,L,L,False,(L) Business registration certificate is current and accessible
(L) License renewal dates are tracked and updated before expiration,License Documents,1,1,证照文件记录,Document Record,1.2.2,1.0,text_match,high,L,L,False,(L) License renewal dates are tracked and updated before expiration
(L) Store has valid food service license prominently displayed,License Documents,1,1,证照文件记录,Document Record,1.1.1,1.0,text_match,high,L,M,True,(L) Store has valid food service license prominently displayed
All required government permits are posted in customer-visible area is verified,Licenses and certificates,1,1,证照文件记录,Document Record,1.2.1,0.9,text_match,high,,G,False,All required government permits are posted in customer-visible area is verified
All required government permits is posted in customer-visible area,License Documents,1,1,证照文件记录,Document Record,1.2.1,0.962,text_match,high,,L,False,All required government permits is posted in customer-visible area
Business registration certificate is current and accessible is verified,License Documents,1,1,证照文件记录,Document Record,1.1.2,0.9,text_match,high,,O,False,Business registration certificate is current and accessible is verified
License renewal dates are tracked and updated before expiration is verified,Licenses and certificates,1,1,证照文件记录,Document Record,1.2.2,0.9,text_match,high,,G,False,License renewal dates are tracked and updated before expiration is verified
Store has valid food service license prominently displayed is verified,License Documents,1,1,证照文件记录,Document Record,1.1.1,0.9,text_match,high,,O,False,Store has valid food service license prominently displayed is verified
Staff demonstrate proper handwashing technique and frequency is verified,Employees' Health,2,2,员工健康与个人卫生,Employees' Health & Personal Hygiene,2.2.1,0.9,text_match,high,,O,False,Staff demonstrate proper handwashing technique and frequency is verified
(G) (G) Employee health screening records are up to date,Personal Hygiene,1,2,员工健康与个人卫生,Employees' Health & Personal Hygiene,2.1.2,0.9,text_match,high,,G,False,(G) (G) Employee health screening records are up to date
(G) All food handlers have valid health certificates on file,Handwashing Standards,1,2,员工健康与个人卫生,Employees' Health & Personal Hygiene,2.1.1,0.9,text_match,high,,O,False,(G) All food handlers have valid health certificates on file
(G) Disposable gloves are used during food preparation and changed between tasks,Personal certificate,1,2,员工健康与个人卫生,Employees' Health & Personal Hygiene,2.3.2,0.9,text_match,high,,G,False,(G) Disposable gloves are used during food preparation and changed between tasks
(G) Employee health screening records are up to date,Personal Hygiene,1,2,员工健康与个人卫生,Employees' Health & Personal Hygiene,2.1.2,0.9,text_match,high,,G,False,(G) Employee health screening records are up to date
(L) (G) All food handlers have valid health certificates on file,Personal certificate,1,2,员工健康与个人卫生,Employees' Health & Personal Hygiene,2.1.1,0.9,text_match,high,L,L,False,(L) (G) All food handlers have valid health certificates on file
(L) (L) Employee health screening records are up to date,Employees' Health,1,2,员工健康与个人卫生,Employees' Health & Personal Hygiene,2.1.2,0.9,text_match,high,L,L,False,(L) (L) Employee health screening records are up to date
(L) (L) Staff demonstrate proper handwashing technique and frequency,Employees' Health,1,2,员工健康与个人卫生,Employees' Health & Personal Hygiene,2.2.1,0.9,text_match,high,L,L,False,(L) (L) Staff demonstrate proper handwashing technique and frequency
(L) Disposable gloves are used during food preparati,Disposable Gloves and Blue Bandages,1,2,员工健康与个人卫生,Employees' Health & Personal Hygiene,2.3.2,0.9,text_match,high,L,L,False,(L) Disposable gloves are used during food preparati
(L) Disposable gloves are used during food preparation and changed between tasks,Disposable Gloves and Blue Bandages,1,2,员工健康与个人卫生,Employees' Health & Personal Hygiene,2.3.2,1.0,text_match,high,L,L,False,(L) Disposable gloves are used during food preparation and changed between tasks
(L) Disposable gloves are used during food preparation and changed between tasks,Employees' Health,1,2,员工健康与个人卫生,Employees' Health & Personal Hygiene,2.3.2,1.0,text_match,high,L,O,True,(L) Disposable gloves are used during food preparation and changed between tasks
(L) Handwashing station is fully stocked with soap and paper towels,Personal Hygiene,1,2,员工健康与个人卫生,Employees' Health & Personal Hygiene,2.2.2,1.0,text_match,high,L,L,False,(L) Handwashing station is fully stocked with soap and paper towels
(L) Staff demonstrate proper handwashing technique and frequency,Personal certificate,1,2,员工健康与个人卫生,Employees' Health & Personal Hygiene,2.2.1,1.0,text_match,high,L,G,True,(L) Staff demonstrate proper handwashing technique and frequency
All food handlers have valid health certificates on file is verified,Personal Hygiene,1,2,员工健康与个人卫生,Employees' Health & Personal Hygiene,2.1.1,0.9,text_match,high,,G,False,All food handlers have valid health certificates on file is verified
Blue bandages are available and used for any cuts or wounds,Personal certificate,1,2,员工健康与个人卫生,Employees' Health & Personal Hygiene,2.3.3,1.0,text_match,high,,G,False,Blue bandages are available and used for any cuts or wounds
Blue bandages is available and used for any cuts or wounds,Personal certificate,1,2,员工健康与个人卫生,Employees' Health & Personal Hygiene,2.3.3,0.957,text_match,high,,L,False,Blue bandages is available and used for any cuts or wounds
Disposable gloves are used during food preparati,Personal certificate,1,2,员工健康与个人卫生,Employees' Health & Personal Hygiene,2.3.2,0.9,text_match,high,,L,False,Disposable gloves are used during food preparati
Employee health screening records ,Personal certificate,1,2,员工健康与个人卫生,Employees' Health & Personal Hygiene,2.1.2,0.9,text_match,high,,O,False,Employee health screening records 
Handwashing station is fully stocked with,Handwashing Standards,1,2,员工健康与个人卫生,Employees' Health & Personal Hygiene,2.2.2,0.9,text_match,high,,M,False,Handwashing station is fully stocked with
Handwashing station is fully stocked with soap and paper towels,Disposable Gloves and Blue Bandages,1,2,员工健康与个人卫生,Employees' Health & Personal Hygiene,2.2.2,1.0,text_match,high,,G,False,Handwashing station is fully stocked with soap and paper towels
(G) Incoming goods are inspected and documented upon delivery,Approved Goods,3,3,供应商管理,Approved Supplier,3.2.1,0.9,text_match,high,,G,False,(G) Incoming goods are inspected and documented upon delivery
(G) All food supplies are from approved suppliers on the vendor list,Approved Goods,1,3,供应商管理,Approved Supplier,3.1.1,0.9,text_match,high,,G,False,(G) All food supplies are from approved suppliers on the vendor list
(G) Supplier certifications and quality documents is on file,Approved Goods,1,3,供应商管理,Approved Supplier,3.1.2,0.923,text_match,high,,G,False,(G) Supplier certifications and quality documents is on file
(L) (G) All food supplies are from approved suppliers on the vendor list,Approved Goods,1,3,供应商管理,Approved Supplier,3.1.1,0.9,text_match,high,L,L,False,(L) (G) All food supplies are from approved suppliers on the vendor list
